,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,No of years,Brand
111,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,5,Tata
112,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5,8,Hyundai
113,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5,8,Hyundai
114,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5,12,Toyota
115,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5,1,Maruti
116,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,5,Maruti
117,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,4,Maruti
118,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,4,Maruti
120,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5,7,Nissan
121,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,5,Hyundai
122,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5,4,Ford
123,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5,9,Maruti
124,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,3,Renault
125,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5,6,Maruti
126,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,13,Maruti
127,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,8,Maruti
128,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5,12,Hyundai
129,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,6,Maruti
130,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5,2,Honda
131,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,5,3,Audi
132,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,2,Lexus
133,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5,4,Jaguar
134,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,5,4,Jeep
135,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7,2,Land
136,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5,4,Mercedes-Benz
137,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,5,3,BMW
139,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,2,BMW
140,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5,3,Skoda
141,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,5,5,Mercedes-Benz
142,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5,2,MG
143,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497,117.6,5,4,Honda
144,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,8,Toyota
145,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,5,3,Volvo
146,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,7,6,Audi
147,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5,6,Maruti
148,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,5,4,Mercedes-Benz
149,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,5,11,BMW
150,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5,5,Hyundai
151,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5,4,Jaguar
152,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,5,3,Tata
153,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5,10,Volkswagen
154,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5,9,Hyundai
155,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5,5,Skoda
156,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,5,3,Mercedes-Benz
157,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,7,7,Maruti
158,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5,4,Mercedes-Benz
159,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5,4,Honda
160,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5,2,Toyota
161,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,10,Maruti
162,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5,9,Maruti
163,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7,5,Toyota
164,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5,3,Tata
165,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5,5,BMW
166,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5,5,Toyota
167,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,5,5,BMW
168,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5,12,Toyota
169,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7,5,Maruti
170,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969,400.0,4,4,Volvo
171,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5,10,Volkswagen
172,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,3,Ford
173,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,10,Ford
174,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,6,Maruti
175,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5,6,Maruti
176,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5,5,Hyundai
177,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,22,Maruti
178,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5,11,Maruti
179,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,6,Hyundai
180,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,5,2,Volkswagen
181,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5,7,Hyundai
182,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5,7,Maruti
183,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,5,5,Hyundai
184,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,5,16,Honda
185,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5,11,Toyota
186,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5,21,Daewoo
187,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,7,7,Toyota
188,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,6,5,Mahindra
189,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5,4,Tata
190,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,5,12,Honda
191,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5,16,Maruti
192,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5,11,Maruti
193,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2,5,11,Hyundai
194,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5,5,Maruti
195,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,5,16,Hyundai
196,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,1,Hyundai
197,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,4,Maruti
198,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5,2,Tata
199,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,6,Maruti
201,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,6,Honda
202,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5,7,Honda
203,360000,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5,5,Maruti
204,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,4,Maruti
205,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5,8,Hyundai
207,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,3,Maruti
208,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,4,Maruti
209,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,3,Maruti
210,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,5,3,Maruti
211,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,4,Maruti
212,1250000,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7,2,Tata
213,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5,8,Hyundai
214,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,3,Maruti
215,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,6,Maruti
216,550000,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,5,9,Toyota
217,265000,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5,9,Honda
218,830000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,3,Maruti
219,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,4,Tata
220,160000,25000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,10,Maruti
221,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,3,Renault
222,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5,4,Datsun
223,775000,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,4,Maruti
224,524000,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,1,Hyundai
225,245000,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,6,Maruti
226,275000,93000,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,5,9,Hyundai
227,520000,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,3,Tata
229,550000,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5,7,Nissan
230,910000,15000,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,5,3,Ford
231,300000,80000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,5,6,Nissan
232,350000,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,5,Maruti
233,900000,70000,Diesel,Individual,Manual,First Owner,12.83,2696,162.0,7,8,Mahindra
234,300000,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,7,8,Mahindra
235,250000,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5,11,Maruti
236,1100000,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,4,Hyundai
237,270000,44000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,5,Renault
238,640000,80000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,6,Maruti
239,650000,125000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,6,Mahindra
240,409999,13500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,4,Maruti
241,165000,75000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,10,Hyundai
242,80000,120000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,5,14,Hyundai
243,535000,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,9,Mahindra
244,700000,70000,Diesel,Individual,Manual,First Owner,12.99,2494,100.57,7,8,Toyota
245,550000,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,8,Maruti
246,680000,15000,Petrol,Individual,Automatic,First Owner,19.0,1199,88.76,5,2,Honda
247,200000,53000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,12,Hyundai
248,500000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5,7,Maruti
249,1000000,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,5,Maruti
250,110000,120000,Petrol,Individual,Manual,Second Owner,14.2,1341,82.9,5,13,Hyundai
251,320000,100000,Petrol,Individual,Manual,Second Owner,18.5,1197,80.0,5,9,Hyundai
253,350000,100000,Petrol,Individual,Manual,First Owner,20.4,1197,83.11,5,6,Maruti
254,170000,162500,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,5,8,Tata
255,800000,39000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,4,Hyundai
256,500000,75000,Diesel,Individual,Manual,First Owner,26.8,1248,74.0,5,4,Maruti
257,1380000,50000,Diesel,Individual,Automatic,First Owner,17.6,2179,153.86,7,4,Tata
258,1300000,40000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,8,2,Mahindra
259,530000,92500,Diesel,Individual,Manual,First Owner,22.32,1582,126.3,5,8,Hyundai
260,360000,158000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,9,Maruti
261,310000,120000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,9,Maruti
262,725000,50000,Diesel,Individual,Manual,Second Owner,26.0,1498,98.6,5,6,Honda
263,340000,110000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,9,Maruti
264,550000,2000,Diesel,Individual,Manual,Second Owner,25.4,1186,73.97,5,4,Hyundai
265,1150000,181000,Diesel,Individual,Manual,Second Owner,11.5,2982,171.0,7,10,Toyota
266,380000,70000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5,5,Tata
267,350000,90000,Petrol,Individual,Automatic,Second Owner,17.97,1498,99.6,5,8,Nissan
268,610000,2000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,2,Hyundai
269,525000,20000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,6,Maruti
270,480000,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,7,10,Toyota
271,780000,35000,Diesel,Individual,Manual,First Owner,16.55,2498,105.0,6,4,Mahindra
272,320000,193000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,9,Maruti
273,375000,80000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,7,Maruti
274,300000,40000,Petrol,Individual,Manual,First Owner,19.02,1198,67.05,5,2,Datsun
275,500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,22.54,1396,88.73,5,6,Hyundai
276,404000,122358,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9,10,Mahindra
277,500000,75000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7,6,Tata
278,350000,120000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5,4,Tata
279,380000,40000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,6,Tata
280,114999,95200,Petrol,Individual,Manual,Third Owner,13.2,1495,94.0,5,13,Hyundai
281,335000,33033,Petrol,Dealer,Manual,First Owner,19.4,1198,86.8,5,7,Honda
282,465000,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0,5,6,Hyundai
283,290000,60000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5,9,Tata
284,110000,45000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,16,Maruti
285,450000,80000,Diesel,Individual,Manual,Third Owner,11.57,2179,138.1,7,10,Tata
286,400000,170000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7,12,Mahindra
287,210000,207890,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7,14,Mahindra
288,4600000,7976,Diesel,Individual,Automatic,First Owner,17.9,2143,170.0,5,3,Mercedes-Benz
289,220000,35000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,5,Maruti
290,450000,35000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,4,Hyundai
291,450000,35000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,4,Hyundai
292,290000,50000,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,8,Hyundai
293,520000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,5,Maruti
294,265000,20000,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,10,Hyundai
295,330000,50000,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8,5,9,Maruti
296,330000,50000,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8,5,9,Maruti
297,509999,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,7,Mahindra
298,500000,70000,Petrol,Individual,Manual,First Owner,17.1,1591,121.3,5,7,Hyundai
299,525000,50000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5,6,Hyundai
300,675000,16500,Petrol,Individual,Manual,First Owner,21.01,1197,81.8,5,2,Maruti
301,300000,70000,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,5,11,Hyundai
302,90000,99361,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,16,Maruti
303,650000,25000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,4,Maruti
304,409000,70000,Petrol,Individual,Manual,Second Owner,19.1,1197,85.8,5,7,Maruti
